profilnummer	rechtswert	hochwert	neigungmikro	gruendigkeit_wert	ol_maecht	of_maecht	oh_maecht	flurabstand	ausgangsmaterial	bodentyp_oe	humusform	hoehenstufe	oekofeuchte	landnutzung
1_U	11.29848	46.42506	22	60	2	1	0.5	10	Lockersedimente	1311	120	11	230	100
2_U	11.29866	46.42348	0	65	1	1	1	10	Lockersedimente	1311	120	11	230	100
3_U	11.27103	46.38612	25	120	1	0.5	0.5	10	Lockersedimente	1311	120	11	230	100
4_U	11.24967	46.38985	10	90	0	0	0	10	Lockersedimente	1742	110	11		500
5_U	11.28557	46.44934	0	70	0.5	0	0	10	Lockersedimente	1311	110	11	230	100
6_U	11.24901	46.44751	0	20	1	1	2	10	Vulkanite	1210	120	11		100
7_U	11.26263	46.41066	0	75	1	0	0	10	Lockersedimente	1311	110	11	240	100
8_U	11.26660	46.39486	20	110	2	0	0	10	Lockersedimente	1311	110	11	230	100
9_U	11.24178	46.42536	30	75	1	0	0	10	Lockersedimente	1250	110	11	220	100
10_U	11.22609	46.43519	40	90	3	2	6	10	Lockersedimente	1224	120	12	230	100
11_U	11.22992	46.44000	25	50	0.5	0.5	0.5	10	Lockersedimente	1312	110	12	230	100
12_U	11.22890	46.44004	45	95	1	0.5	0		Lockersedimente	1710	120	12	230	100
13_U	11.23584	46.44104	42	55	1	0.5	1	10	feste Sedimentgesteine	1610	120	12	230	100
14_U	11.23690	46.44085	9	80	1	2	0	10	Lockersedimente	1311	110	12	240	100
16_U	11.23880	46.44550	25	100	1	2	5	10	Lockersedimente	1311	120	12	220	100
18_U	11.23861	46.45376	21	55	1	10	4	10	Lockersedimente	1224	120	11	220	100
19_U	11.22290	46.43495	42	80	2	1.5	0.5	10	Lockersedimente	1230	120	21	230	100
20_U	11.2473	46.48908	35	95	1	0	0	10	Lockersedimente	1712	110	11	230	100
21_U	11.30495	46.43291	0	95	0.5	2	1	10	Vulkanite	1311	120	11	230	100
22_U	11.30472	46.43273	35	35	0.5	1	3	10	Lockersedimente	1250	120	11	220	100
23_U	11.30323	46.43258	0	80	0.5	0.5	0.5	10	Lockersedimente	1311	120	11	240	100
24_U	11.30078	46.43696	0	100	0.5	0.5	0.5	10	Lockersedimente	1940	120	11	260	100
25_U	11.29719	46.43978	0	65	1	0.5	1	10	Lockersedimente	1311	120	11	220	100
26_U	11.30234	46.43801	6	50	2	0.5	1	10	Lockersedimente	1311	120	11	220	100
27_U	11.23223	46.48120	30	95	1	2	2	10	Lockersedimente	1243	120	12	240	100
28_U	11.23581	46.47963	25	50	1.5	1	0.5	10	Lockersedimente	1710	120	12	220	100
29_U	11.30338	46.43774	7	90	0.5	0.5	0.5	10	Lockersedimente	1311	120	11	240	100
30_U	11.30403	46.43732	7	95	0.5	0.5	0.5	10	Lockersedimente	1311	120	11	240	100
31_U	11.30467	46.43688	0	72	0.5	0.5	2	10	Lockersedimente	1311	120	11	230	100
32_U	11.30502	46.43679	30	75	1	0.5	1	10	Lockersedimente	1311	120	11	220	100
33_U	11.29806	46.43994	35	45	0.5	0.5	0.5	10	Lockersedimente	1250	120	11	230	100
34_U	11.30039	46.43689	12	175	0.5	0.5	0.5	10	Lockersedimente	1311	120	11	230	100
35_U	11.28780	46.43451	23	40	0.5	0	0	10	Lockersedimente	1311	120	11	220	100
36_U	11.29132	46.43785	30	120	0.5	0.25	0.25	10	Lockersedimente	1311	120	11	230	100
37_U	11.29121	46.44283	12	95	0.5	0.5	0	10	Lockersedimente	1311	120	11	240	100
38_U	11.28868	46.44296	38	100	1	0	0	10	Lockersedimente	1311	110	11	220	100
39_U	11.28741	46.40994	18	70	1	0.5	1	10	Lockersedimente	1311	120	11	230	100
40_U	11.28582	46.40987	0	100	0.5	0.5	0.5	10	Lockersedimente	1311	120	11	230	100
41_U	11.28424	46.40959	0	55	1	0.5	1	10	Lockersedimente	1410	120	11	220	100
42_U	11.26524	46.42938	4	75	2	0.5	0.5	10	Lockersedimente	1311	120	11	240	100
43_T	11.21872	46.50385	35	100	2	2.5	0.5	10	Lockersedimente	1312	120	12	240	100
44_T	11.2292	46.51852	4	60	1	1.5	0.5	10	Lockersedimente	1311	120	11	230	100
45_T	11.20821	46.49916	40	60	1	2	0	10	Lockersedimente	1220	110	21	230	960
46_T	11.2119	46.51401	34	70	2	2.5	0	10	Lockersedimente	1311	110	12	230	100
47_T	11.22993	46.51835	0	120	1	0.5	0	10	Lockersedimente	1311	110	11	240	500
48_T	11.21784	46.50282	42	130	2.5	0.5	0.5	10	Lockersedimente	1230	120	12	220	100
49_T	11.21558	46.50207	35	60	1	3	2	10	Lockersedimente	1230	120	12	220	100
50_T	11.22038	46.50154	20	65	1	0.5	0	10	Lockersedimente	1711	110	12	210	100
51_T	11.22058	46.50103	15	30	2	0.5	0.5	10	Lockersedimente	1711	120	12	210	100
52_T	11.21663	46.50144	22	35	1	3	2	10	Lockersedimente	1224	120	12	220	100
53_T	11.21679	46.49899	25	20	0.5	4	4.5	10	Lockersedimente	1224	120	12	240	100
55_T	11.21941	46.50001	30	70	1	4	0.5	10	Lockersedimente	1711	120	12	240	100
56_T	11.22212	46.5034	35	60	0.5	0	0	10	Lockersedimente	1711	110	12	240	100
57_T	11.2364	46.49904	35	70	0.5	0.5	0.5	10	Lockersedimente	1311	120	11	220	100
58_T	11.23412	46.50159	40	40	4	4	5	10	Lockersedimente	1250	120	11	210	100
